
simulation_200tdp43-LCD_2full-ck1d/input_300K.in
Initial time: 0.5751996040344238
Elapsed time 6.779918432235718 | Step 10000/1000000 
Elapsed time 12.47237229347229 | Step 20000/1000000 
Elapsed time 18.267364740371704 | Step 30000/1000000 
Elapsed time 23.383662700653076 | Step 40000/1000000 
Elapsed time 28.694443702697754 | Step 50000/1000000 
Elapsed time 34.40367531776428 | Step 60000/1000000 
Elapsed time 39.79508376121521 | Step 70000/1000000 
Elapsed time 45.06967806816101 | Step 80000/1000000 
Elapsed time 51.285337924957275 | Step 90000/1000000 
Elapsed time 59.8113968372345 | Step 100000/1000000 
Elapsed time 64.97310018539429 | Step 110000/1000000 
Elapsed time 70.17260789871216 | Step 120000/1000000 
Elapsed time 75.60454940795898 | Step 130000/1000000 
Elapsed time 81.0439350605011 | Step 140000/1000000 
Elapsed time 87.83357214927673 | Step 150000/1000000 
Elapsed time 94.1268539428711 | Step 160000/1000000 
Elapsed time 99.88142347335815 | Step 170000/1000000 
Elapsed time 105.51729393005371 | Step 180000/1000000 
Elapsed time 111.24215245246887 | Step 190000/1000000 
Elapsed time 116.96496248245239 | Step 200000/1000000 
Elapsed time 122.52117466926575 | Step 210000/1000000 
Elapsed time 128.08762621879578 | Step 220000/1000000 
Elapsed time 133.66300249099731 | Step 230000/1000000 
Elapsed time 139.3674759864807 | Step 240000/1000000 
Elapsed time 145.56400990486145 | Step 250000/1000000 
Elapsed time 151.37486457824707 | Step 260000/1000000 
Elapsed time 157.20452094078064 | Step 270000/1000000 
Elapsed time 162.92049479484558 | Step 280000/1000000 
Elapsed time 168.6777844429016 | Step 290000/1000000 
Elapsed time 174.52995443344116 | Step 300000/1000000 
Elapsed time 180.53148293495178 | Step 310000/1000000 
Elapsed time 186.19202184677124 | Step 320000/1000000 
Elapsed time 191.90899443626404 | Step 330000/1000000 
Elapsed time 197.64237689971924 | Step 340000/1000000 
Elapsed time 203.4220154285431 | Step 350000/1000000 
Elapsed time 209.277010679245 | Step 360000/1000000 
Elapsed time 215.1621811389923 | Step 370000/1000000 
Elapsed time 221.05336332321167 | Step 380000/1000000 
Elapsed time 226.95418977737427 | Step 390000/1000000 
Elapsed time 232.90176844596863 | Step 400000/1000000 
Elapsed time 238.8208885192871 | Step 410000/1000000 
Elapsed time 244.8000099658966 | Step 420000/1000000 
Elapsed time 250.75643348693848 | Step 430000/1000000 
Elapsed time 256.88761281967163 | Step 440000/1000000 
Elapsed time 263.24837374687195 | Step 450000/1000000 
Elapsed time 269.29476737976074 | Step 460000/1000000 
Elapsed time 275.2814221382141 | Step 470000/1000000 
Elapsed time 281.21520471572876 | Step 480000/1000000 
Elapsed time 287.12952280044556 | Step 490000/1000000 
Elapsed time 293.17413878440857 | Step 500000/1000000 
Elapsed time 299.1970181465149 | Step 510000/1000000 
Elapsed time 305.26440167427063 | Step 520000/1000000 
Elapsed time 311.37753891944885 | Step 530000/1000000 
Elapsed time 317.425345659256 | Step 540000/1000000 
Elapsed time 323.5354652404785 | Step 550000/1000000 
Elapsed time 329.5332658290863 | Step 560000/1000000 
Elapsed time 335.5573170185089 | Step 570000/1000000 
Elapsed time 341.7142267227173 | Step 580000/1000000 
Elapsed time 347.8421559333801 | Step 590000/1000000 
Elapsed time 354.13028931617737 | Step 600000/1000000 
Elapsed time 360.6962456703186 | Step 610000/1000000 
Elapsed time 366.751699924469 | Step 620000/1000000 
Elapsed time 372.7759118080139 | Step 630000/1000000 
Elapsed time 378.82114815711975 | Step 640000/1000000 
Elapsed time 385.15731620788574 | Step 650000/1000000 
Elapsed time 391.2149918079376 | Step 660000/1000000 
Elapsed time 397.4329688549042 | Step 670000/1000000 
Elapsed time 403.6047730445862 | Step 680000/1000000 
Elapsed time 409.9668810367584 | Step 690000/1000000 
Elapsed time 416.3087229728699 | Step 700000/1000000 
Elapsed time 422.6087501049042 | Step 710000/1000000 
Elapsed time 429.0542459487915 | Step 720000/1000000 
Elapsed time 435.54688119888306 | Step 730000/1000000 
Elapsed time 441.98481369018555 | Step 740000/1000000 
Elapsed time 448.5171160697937 | Step 750000/1000000 
Elapsed time 455.2404942512512 | Step 760000/1000000 
Elapsed time 461.41462779045105 | Step 770000/1000000 
Elapsed time 467.4967637062073 | Step 780000/1000000 
Elapsed time 473.6031951904297 | Step 790000/1000000 
Elapsed time 479.67213106155396 | Step 800000/1000000 
Elapsed time 485.7376744747162 | Step 810000/1000000 
Elapsed time 491.84977865219116 | Step 820000/1000000 
Elapsed time 498.88056111335754 | Step 830000/1000000 
Elapsed time 505.0893290042877 | Step 840000/1000000 
Elapsed time 511.40441608428955 | Step 850000/1000000 
Elapsed time 517.5917482376099 | Step 860000/1000000 
Elapsed time 523.7630200386047 | Step 870000/1000000 
Elapsed time 530.0938377380371 | Step 880000/1000000 
Elapsed time 536.3101952075958 | Step 890000/1000000 
Elapsed time 542.5320935249329 | Step 900000/1000000 
Elapsed time 548.6885452270508 | Step 910000/1000000 
Elapsed time 554.8814737796783 | Step 920000/1000000 
Elapsed time 561.1731157302856 | Step 930000/1000000 
Elapsed time 567.3366458415985 | Step 940000/1000000 
Elapsed time 573.5561125278473 | Step 950000/1000000 
Elapsed time 579.7356760501862 | Step 960000/1000000 
Elapsed time 585.9756031036377 | Step 970000/1000000 
Elapsed time 592.2268786430359 | Step 980000/1000000 
Elapsed time 598.4787039756775 | Step 990000/1000000 
Elapsed time 604.8244066238403 | Step 1000000/1000000 
simulation_200tdp43-LCD_2full-ck1d/input_300K.in
Initial time: 1.9831361770629883
Elapsed time 6.705066919326782 | Step 10000/100000 
Elapsed time 10.868346929550171 | Step 20000/100000 
Elapsed time 15.103650331497192 | Step 30000/100000 
Elapsed time 19.196309089660645 | Step 40000/100000 
simulation_200tdp43-LCD_2full-ck1d/input_300K.in
Initial time: 0.5222024917602539
Elapsed time 7.1024487018585205 | Step 10000/100000 
Elapsed time 13.108260869979858 | Step 20000/100000 
Elapsed time 19.404611825942993 | Step 30000/100000 
Elapsed time 24.517529010772705 | Step 40000/100000 
Elapsed time 29.796659231185913 | Step 50000/100000 
Elapsed time 35.04270076751709 | Step 60000/100000 
Elapsed time 41.194066286087036 | Step 70000/100000 
Elapsed time 47.04073476791382 | Step 80000/100000 
Elapsed time 52.878413677215576 | Step 90000/100000 
Elapsed time 58.06870436668396 | Step 100000/100000 
