#AA     Mass    Charge  Sigma   Lambda  
ALA     71.08   0.00    5.040   0.3377244362031627   
ARG     156.20  1.00    6.560   0.7407902764839954
ASN     114.10  0.00    5.680	0.3706962163690402
ASP     115.10  -1.00   5.580	0.092587557536158      
CYS     103.10  0.00    5.480	0.5922529084601322
GLN	128.10  0.00    6.020   0.3143449791669133   
GLU     129.10  -1.00   5.920   0.000249590539426   
GLY     57.05   0.00    4.500   0.7538308115197386
HIS     137.10  0.50    6.080   0.4087176216525476   
ILE     113.20  0.00    6.180   0.5130398874425708   
LEU     113.20  0.00    6.180   0.5548615312993875   
LYS     128.20  1.00    6.360   0.1380602542039267   
MET     131.20  0.00    6.180   0.5170874160398543   
PHE     147.20  0.00    6.360   0.8906449355499866   
PRO     97.12   0.00    5.560   0.3469777523519372   
SER     87.08   0.00    5.180   0.4473142572693176   
THR     101.10  0.00    5.620   0.2672387936544146   
TRP     186.20  0.00    6.780   1.033450123574512   
TYR     163.20  0.00    6.460   0.950628687301107   
VAL     99.07   0.00    5.860   0.2936174211771383
SEP     165.03  -2.00   6.360   0.092587557536158
