#AA     Mass    Charge  Sigma   Lambda  
ALA     71.07   0.00    5.040   0.274298   
ARG     156.19  1.00    6.560   0.730762   
ASN     114.10  0.00    5.680   0.425586  
ASP     115.09  -1.00   5.580   0.041604   
CYS     103.14  0.00    5.480   0.5615435  
GLN     128.13  0.00    6.020   0.393432
GLU     129.11  -1.00   5.920   0.0006935
GLY     57.05   0.00    4.500   0.705884   
HIS     137.14  0.50    6.080   0.466367
ILE     113.16	0.00    6.180   0.542362 
LEU     113.16  0.00    6.180   0.6440005
LYS     128.17  1.00    6.360   0.179021  
MET     131.20  0.00    6.180   0.530848
PHE     147.18  0.00    6.360   0.867236
PRO     97.12   0.00    5.560   0.359313
SER     87.08   0.00    5.180   0.462542
THR     101.11  0.00    5.620   0.371316
TRP     186.22  0.00    6.780   0.9893765
TYR     163.18  0.00    6.460   0.977461
VAL     99.13   0.00    5.860   0.208377
SEP     165.03  -2.00   6.360   0.0006935
